GB00B1YW4409^10.0,III^5.0,3I GROUP^8.0
IT0001233417^10.0,A2A^5.0,A2a^8.0
BE0003793107^10.0,ABI^5.0,AB INBEV^8.0
CH0012221716^10.0,ABBN^5.0,ABB^8.0
FR0004040608^10.0,ABCA^5.0,Abc Arbitrage^8.0
GB0000031285^10.0,ADN^5.0,ABERDEEN ASSET MANAGEMENT^8.0
ES0111845014^10.0,ABE^5.0,ABERTIS INFR^8.0
FR0000064602^10.0,ACAN^5.0,ACANTHE DEV.^8.0
ES0125220311^10.0,ANA^5.0,Acciona^8.0
FR0000120404^10.0,AC^5.0,ACCOR^8.0
ES0132105018^10.0,ACX^5.0,Acerinox^8.0
BE0003764785^10.0,ACKB^5.0,ACKERMANS V.HAAREN^8.0
ES0167050915^10.0,ACS^5.0,ACS^8.0
CH0010532478^10.0,ATLN^5.0,ACTELION N^8.0
CH0012138605^10.0,ADEN^5.0,ADECCO^8.0
DE0005003404^10.0,ADS^5.0,ADIDAS^8.0
GB00B02J6398^10.0,ADM^5.0,ADMIRAL GROUP^8.0
FR0010340141^10.0,ADP^5.0,ADP^8.0
GB0009657569^10.0,AGS^5.0,AEGIS GROUP^8.0
NL0000303709^10.0,AGN^5.0,AEGON^8.0
FR0000036105^10.0,IML^5.0,Affine^8.0
GB0001478998^10.0,AGK^5.0,AGGREKO^8.0
NL0006033250^10.0,AH^5.0,AHOLD KON^8.0
FR0000031122^10.0,AF^5.0,AIR FRANCE -KLM^8.0
FR0000120073^10.0,AI^5.0,AIR LIQUIDE^8.0
FR0004180537^10.0,AKA^5.0,AKKA TECHNOLOGIES^8.0
NL0000009132^10.0,AKZA^5.0,AKZO NOBEL^8.0
FR0000130007^10.0,ALU^5.0,ALCATEL-LUCENT^8.0
FR0000054652^10.0,PHY^5.0,Ales^8.0
IT0000078193^10.0,AL^5.0,ALLEANZA^8.0
DE0008404005^10.0,ALV^5.0,ALLIANZ^8.0
IE0000197834^10.0,AIB^5.0,ALLIED IRISH BK^8.0
FR0000053324^10.0,CDA^5.0,ALPES (COMPAGNIE)^8.0
GRS015013006^10.0,ALPHA^5.0,ALPHA BANK^8.0
CH0034389707^10.0,ALPH^5.0,ALPIQ HOLDING N^8.0
FR0010220475^10.0,ALO^5.0,ALSTOM^8.0
FR0000071946^10.0,ATE^5.0,Alten^8.0
FR0000034639^10.0,ATC^5.0,ALTRAN TECHN.^8.0
GB0000282623^10.0,AMEC^5.0,AMEC^8.0
GB00B2988H17^10.0,AML^5.0,AMLIN^8.0
AT0000730007^10.0,ANDR^5.0,Andritz Ag^8.0
FR0000063091^10.0,ANF^5.0,ANF^8.0
GB00B1XZS820^10.0,AAL^5.0,ANGLO AMERICAN^8.0
GB0000456144^10.0,ANTO^5.0,ANTOFAGASTA^8.0
FR0004037125^10.0,APR^5.0,APRIL GROUP^8.0
LU0323134006^10.0,MT^5.0,ARCELORMITTAL^8.0
FR0004275832^10.0,CEI^5.0,AREVA CI^8.0
FR0010313833^10.0,AKE^5.0,ARKEMA^8.0
GB0000595859^10.0,ARM^5.0,ARM HOLDINGS PLC^8.0
GB0002303468^10.0,ARI^5.0,ARRIVA^8.0
CH0043238366^10.0,ARYN^5.0,ARYZTA AG^8.0
GB00B132NW22^10.0,ASHM^5.0,ASHMORE ORD 0.01P^8.0
NL0006034001^10.0,ASML^5.0,ASML HOLDING^8.0
IT0000062072^10.0,G^5.0,GENERALI^8.0
GB0006731235^10.0,ABF^5.0,ASSOCIATED BRITISH FOODS^8.0
FR0000074148^10.0,ASY^5.0,Assystem^8.0
GB0009895292^10.0,AZN^5.0,ASTRAZENECA^8.0
FR0010478248^10.0,ATA^5.0,ATARI^8.0
GB0000608009^10.0,ATK^5.0,ATKINS(WS)^8.0
IT0003506190^10.0,ATL^5.0,ATLANTIA^8.0
FR0000051732^10.0,ATO^5.0,Atos Origin^8.0
AT0000660659^10.0,ATR^5.0,ATRIUM EUROPEAN^8.0
FR0000063752^10.0,ADI^5.0,Audika^8.0
FR0000039232^10.0,AURE^5.0,Aurea^8.0
DE0006766504^10.0,NDA^5.0,AURUBIS AG^8.0
GB0055007982^10.0,AU.^5.0,AUTONOMY CORP^8.0
FR0000066052^10.0,AVT^5.0,AVENIR TELECOM^8.0
GB00B15CMQ74^10.0,AVV^5.0,AVEVA GROUP^8.0
GB0002162385^10.0,AV.^5.0,AVIVA^8.0
FR0000120628^10.0,CS^5.0,AXA^8.0
ES0113860A34^10.0,SAB^5.0,B. SABADELL^8.0
GB0009697037^10.0,BAB^5.0,BABCOCK INTERNATIONAL GRO^8.0
GB0002634946^10.0,BA.^5.0,BAE SYSTEMS^8.0
MC0000031187^10.0,BAIN^5.0,BAINS MER MONACO^8.0
